Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Belém,-1.38,-48.48,-3,16,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,1,1,24.3,24.2,23.8,101.1,0.0191,99,1.149003346,72.9,0,0,8,0,0,0,0,0
1,1,2,23.4,23.3,22.9,101.1,0.0181,99,1.154359934,69.3,0,0,10,0,0,0,0,0
1,1,3,23.1,23.0,22.6,101,0.0177,99,1.154957029,68.2,0,0,10,0,0,0,0,0
1,1,4,22.6,22.6,22.3,100.9,0.0174,100,1.156447537,66.7,0,0,10,0,0,0,0,0
1,1,5,22.4,22.3,21.9,100.9,0.0170,99,1.157890121,65.6,0,0,10,0,0,0,0,0
1,1,6,22.3,22.3,22.0,100.9,0.0170,100,1.158205708,65.6,0,0,10,0,0,0,0,0
1,1,7,22.4,22.3,21.9,100.9,0.0170,99,1.157890121,65.6,0,0,10,80,37,10,22,27
1,1,8,22.7,22.5,22.1,100.9,0.0172,98,1.156404472,66.4,0,0,10,392,180,47,84,133
1,1,9,23.3,22.8,22.3,101,0.0174,96,1.154879642,67.4,0,0,10,693,319,83,116,236
1,1,10,24.2,23.1,22.3,101.1,0.0174,91,1.152416148,68.5,0,0,10,946,435,114,133,322
1,1,11,25.8,24.0,23.0,101.2,0.0181,86,1.146108203,72.0,0,0,10,1134,522,136,143,385
1,1,12,29.3,24.1,21.8,101.2,0.0168,65,1.135176874,72.2,0,0,10,1243,572,149,150,422
1,1,13,28.0,24.3,22.6,101.2,0.0177,74,1.138533376,73.1,0,0,10,1267,583,152,155,430
1,1,14,28.1,24.5,22.9,101.1,0.0180,75,1.136497683,74.0,3,90,10,1203,554,145,158,409
1,1,15,28.9,24.5,22.5,101,0.0177,70,1.132927987,74.0,3,90,10,1057,486,127,159,359
1,1,16,29.1,24.7,22.8,101,0.0179,70,1.13175176,74.8,3,90,9,838,457,200,309,257
1,1,17,29.9,25.0,22.9,100.9,0.0181,68,1.127335658,76.1,0,0,9,560,305,134,272,172
1,1,18,29.0,25.1,23.4,100.9,0.0186,73,1.129730665,76.5,4,90,9,244,133,58,147,75
1,1,19,27.1,25.0,23.9,100.9,0.0193,85,1.135750488,76.2,3,90,10,9,4,1,3,3
1,1,20,25.3,23.3,22.2,100.9,0.0173,85,1.146110429,69.3,2,60,5,0,0,0,0,0
1,1,21,24.4,23.0,22.1,100.9,0.0172,89,1.149724614,68.2,2,90,0,0,0,0,0,0
1,1,22,24.0,23.0,22.3,101,0.0174,92,1.152142266,68.2,2,90,0,0,0,0,0,0
1,1,23,23.8,23.0,22.4,101,0.0174,94,1.152766303,68.2,2,160,5,0,0,0,0,0
