Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Curitiba,-25.52,-49.18,-3,910,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,1,1,19.8,18.0,16.9,90.9,0.013688913,85,1.057873526,54.5,2,20,9,0,0,0,0,0
1,1,2,20.0,19.2,18.6,90.9,0.01525929,93,1.054546563,58.7,0,0,9,0,0,0,0,0
1,1,3,19.9,19.0,18.3,90.8,0.015036957,92,1.054113689,58.0,0,0,9,0,0,0,0,0
1,1,4,19.4,18.9,18.4,90.9,0.015088701,96,1.056992329,57.7,4,20,9,0,0,0,0,0
1,1,5,19.2,18.8,18.3,90.9,0.01503294,96,1.057808019,57.3,4,30,9,0,0,0,0,0
1,1,6,18.5,17.6,16.9,90.9,0.013696799,92,1.062575709,53.2,4,20,9,39,17,4,55,13
1,1,7,16.4,15.8,15.2,90.8,0.012285542,94,1.071483582,47.5,3,10,4,305,219,172,402,47
1,1,8,18.8,16.8,15.5,90.8,0.012546097,83,1.062238985,50.6,2,30,4,601,433,340,111,93
1,1,9,22.1,18.7,16.9,90.8,0.013701862,74,1.048456614,56.9,3,310,9,873,389,91,126,298
1,1,10,24.9,19.4,16.7,90.8,0.013517142,61,1.038908893,59.3,8,300,9,1101,490,115,134,376
1,1,11,25.6,20.2,17.6,90.9,0.014360928,62,1.036240221,62.2,5,310,9,1271,565,132,139,433
1,1,12,26.6,20.3,17.3,90.9,0.014091317,58,1.03322098,62.5,7,300,9,1369,609,142,568,467
1,1,13,27.5,20.1,16.6,90.8,0.013443189,52,1.030044353,61.8,6,320,6,1391,890,575,584,315
1,1,14,28.0,21.4,18.5,90.8,0.015182861,57,1.025526411,66.7,8,300,6,1334,854,551,290,302
1,1,15,29.0,21.5,18.2,90.8,0.014920076,53,1.022554054,67.1,8,320,8,1201,625,239,300,385
1,1,16,28.6,21.0,17.6,90.7,0.014341835,52,1.023711343,65.2,7,320,8,1003,522,200,309,322
1,1,17,28.3,20.8,17.4,90.7,0.014165094,52,1.025014836,64.5,5,300,8,753,392,150,305,242
1,1,18,27.4,20.5,17.3,90.6,0.01411089,55,1.027038267,63.4,10,300,8,467,243,93,235,150
1,1,19,27.0,20.2,17.0,90.6,0.013834522,55,1.028853991,62.3,4,280,8,166,86,33,77,53
1,1,20,26.0,21.0,18.7,90.6,0.015445908,65,1.029683604,65.4,4,360,8,0,0,0,0,0
1,1,21,22.4,19.8,18.4,90.7,0.01515035,80,1.043860232,60.9,5,270,8,0,0,0,0,0
1,1,22,20.8,19.3,18.4,90.9,0.015066391,88,1.051995017,59.0,3,240,5,0,0,0,0,0
1,1,23,21.3,19.3,18.1,90.9,0.014857497,84,1.050553137,59.0,0,0,4,0,0,0,0,0
1,1,24,20.5,19.5,18.8,90.9,0.015476745,92,1.052391848,59.8,0,0,8,0,0,0,0,0
1,2,1,20.3,19.6,19.0,91,0.015685856,94,1.053921904,60.1,0,0,6,0,0,0,0,0
1,2,2,20.0,19.6,19.1,90.9,0.015829539,97,1.053603703,60.2,2,250,6,0,0,0,0,0
1,2,3,19.9,19.5,19.0,90.9,0.015727942,97,1.054131149,59.8,0,0,6,0,0,0,0,0
1,2,4,18.5,18.0,17.5,90.8,0.014246902,96,1.060489012,54.6,3,90,8,0,0,0,0,0
1,2,5,17.5,17.0,16.5,90.8,0.013343607,95,1.0656507,51.3,0,0,8,0,0,0,0,0
1,2,6,16.7,16.4,16.0,90.7,0.012924153,97,1.068120292,49.4,0,0,9,37,17,4,10,13
1,2,7,16.5,16.2,15.8,90.8,0.012741033,97,1.070344988,48.7,3,30,9,302,134,31,141,103
1,2,8,18.3,18.0,17.6,90.8,0.014330339,97,1.06107759,54.6,3,30,8,599,311,119,213,192
1,2,9,19.2,17.7,16.7,90.8,0.013553883,87,1.059103453,53.6,2,20,8,871,453,174,126,279
1,2,10,21.5,19.5,18.4,90.9,0.015058576,84,1.049508667,59.7,4,330,9,1100,489,114,133,375
1,2,11,25.8,20.3,17.7,90.9,0.01442444,62,1.03544362,62.5,4,310,9,1270,565,132,51,433
1,2,12,25.1,20.5,18.3,90.9,0.015012044,67,1.036916408,63.3,5,280,10,1369,493,53,53,440
1,2,13,23.0,21.0,19.9,91,0.016623014,84,1.042780725,65.3,5,270,10,1391,501,54,584,447
1,2,14,27.0,22.0,19.8,91,0.016496213,66,1.02908827,69.1,6,270,6,1334,854,552,152,302
1,2,15,28.0,22.0,19.4,90.9,0.016098492,61,1.025182585,69.1,5,300,9,1202,535,125,58,410
1,2,16,22.9,20.8,19.7,90.8,0.016401127,84,1.041202136,64.6,8,100,10,1005,362,39,60,323
1,2,17,19.4,18.8,18.2,90.9,0.014949342,95,1.057223601,57.3,6,100,10,755,272,29,59,243
1,2,18,18.0,17.4,16.8,90.9,0.013641348,95,1.064493358,52.6,8,100,10,469,169,18,46,151
1,2,19,17.0,16.6,16.1,90.9,0.013023517,96,1.069201423,50.0,6,120,10,167,60,6,15,54
1,2,20,16.1,15.9,15.5,91,0.012505253,98,1.074585186,47.7,7,90,10,0,0,0,0,0
1,2,21,16.0,16.0,15.7,91,0.012670638,100,1.074676691,48.1,6,100,10,0,0,0,0,0
1,2,22,16.0,16.0,15.7,91.1,0.012656447,100,1.075881712,48.0,4,100,10,0,0,0,0,0
1,2,23,15.8,15.8,15.5,91.1,0.012492405,100,1.076904761,47.4,5,100,10,0,0,0,0,0
1,2,24,15.7,15.7,15.4,91.2,0.012397224,100,1.078621922,47.1,5,90,10,0,0,0,0,0
1,3,1,15.5,15.5,15.2,91.2,0.012236232,100,1.079643275,46.4,4,110,10,0,0,0,0,0
1,3,2,15.4,15.4,15.1,91.2,0.012156443,100,1.080153329,46.1,5,90,10,0,0,0,0,0
1,3,3,15.2,15.2,14.9,91.1,0.012011693,100,1.079963846,45.6,5,110,10,0,0,0,0,0
1,3,4,15.0,15.0,14.7,91,0.01186847,100,1.07977107,45.0,3,80,10,0,0,0,0,0
1,3,5,14.9,14.9,14.6,91,0.011790821,100,1.080278265,44.7,3,80,10,0,0,0,0,0
1,3,6,15.2,15.0,14.6,91,0.011785618,98,1.079163202,45.0,3,90,10,36,13,1,3,11
1,3,7,15.5,15.1,14.6,91,0.011780859,96,1.0780497,45.3,4,50,10,299,108,12,27,96
1,3,8,16.2,15.6,15.0,91.1,0.012081448,94,1.076113066,46.8,4,60,10,596,215,23,41,192
1,3,9,17.3,16.3,15.5,91.1,0.012490846,91,1.071345826,48.9,4,60,10,869,313,33,47,279
1,3,10,17.8,16.7,15.9,91.2,0.012773908,90,1.070201232,50.2,3,90,10,1098,395,42,49,353
1,3,11,19.0,17.3,16.2,91.2,0.013048025,85,1.065345328,52.1,5,60,10,1268,457,49,138,408
1,3,12,21.3,18.5,16.9,91.2,0.013692706,78,1.055951707,56.1,5,20,9,1368,609,142,143,467
1,3,13,21.3,19.0,17.7,91.2,0.014383231,81,1.05480586,57.8,5,60,9,1391,619,145,147,474
1,3,14,23.4,18.8,16.4,91.1,0.013248457,66,1.048056873,57.1,5,10,9,1335,594,139,56,455
1,3,15,24.1,19.6,17.3,91,0.014098989,67,1.043044446,60.0,5,60,10,1203,433,46,301,387
1,3,16,24.8,20.4,18.3,90.9,0.014989028,68,1.037997965,63.0,4,70,8,1006,523,201,311,323
1,3,17,23.2,19.7,17.9,90.9,0.014635538,73,1.044181625,60.4,3,60,8,756,393,151,59,242
1,3,18,21.4,19.9,19.0,90.9,0.015676994,88,1.048846768,61.2,4,90,10,471,169,18,124,151
1,3,19,20.5,19.6,18.9,90.9,0.015620135,92,1.052155171,60.1,4,80,9,169,75,18,41,58
1,3,20,19.3,18.5,17.9,90.9,0.014576542,93,1.058204493,56.3,3,90,9,1,0,0,0,0
1,3,21,19.8,19.0,18.4,91,0.015044066,93,1.056784353,58.0,3,330,10,0,0,0,0,0
1,3,22,19.4,19.0,18.5,91.1,0.015194029,96,1.05914283,57.9,2,110,10,0,0,0,0,0
1,3,23,18.7,18.5,18.1,91.1,0.014793623,98,1.06235078,56.2,2,90,10,0,0,0,0,0
1,3,24,18.7,18.5,18.1,91.1,0.014793623,98,1.06235078,56.2,3,30,10,0,0,0,0,0
1,4,1,18.9,18.6,18.2,91.1,0.01484753,97,1.061533399,56.5,3,10,10,0,0,0,0,0
1,4,2,18.9,18.6,18.2,91.1,0.01484753,97,1.061533399,56.5,3,20,10,0,0,0,0,0
1,4,3,18.7,18.4,18.0,91,0.014673338,97,1.06138514,55.9,2,30,10,0,0,0,0,0
1,4,4,18.4,18.2,17.8,90.9,0.014542694,98,1.061527564,55.3,0,0,10,0,0,0,0,0
1,4,5,18.3,18.2,17.9,90.9,0.014584448,99,1.061822133,55.3,2,20,10,0,0,0,0,0
1,4,6,18.6,18.6,18.3,90.9,0.015006656,100,1.060027198,56.6,2,30,10,34,15,4,9,12
1,4,7,18.0,18.0,17.7,91,0.014423032,100,1.064355454,54.5,0,0,9,296,132,31,27,101
1,4,8,18.7,18.4,18.0,91,0.014673338,97,1.06138514,55.9,3,300,10,593,214,23,41,191
1,4,9,19.0,18.5,18.0,91,0.01468504,96,1.060275747,56.2,0,0,10,866,312,33,46,278
1,4,10,19.3,18.7,18.1,91.1,0.014818407,95,1.060129965,56.9,3,350,10,1096,395,42,49,352
1,4,11,20.0,19.2,18.6,91.1,0.01522422,93,1.056924967,58.6,2,270,10,1267,456,49,51,407
1,4,12,21.1,19.9,19.1,91.1,0.01576591,90,1.05207945,61.1,2,290,10,1368,492,53,273,440
1,4,13,24.7,21.6,20.1,91.1,0.016812573,77,1.037660333,67.5,3,280,8,1391,723,277,584,446
1,4,14,27.5,22.5,20.3,91,0.017085499,66,1.026429463,71.1,5,240,6,1335,855,552,604,302
1,4,15,27.5,21.5,18.8,90.9,0.015525732,60,1.027810142,67.1,5,270,6,1204,771,498,626,273
1,4,16,28.8,21.5,18.3,90.8,0.015003465,54,1.023097398,67.1,4,280,6,1007,645,417,311,228
1,4,17,28.3,20.7,17.2,90.7,0.014015258,52,1.025256328,64.1,3,240,8,758,394,151,161,243
1,4,18,27.0,21.3,18.7,90.7,0.015466711,62,1.027352243,66.4,4,240,9,472,210,49,125,161
1,4,19,26.0,20.5,17.9,90.7,0.014674816,62,1.032068635,63.4,3,240,9,170,76,18,42,58
1,4,20,25.1,20.9,18.9,90.8,0.015630999,70,1.034770198,64.9,3,120,9,1,0,0,0,0
1,4,21,20.4,19.8,19.2,90.9,0.015950669,95,1.051968242,60.9,4,30,10,0,0,0,0,0
1,4,22,20.8,20.2,19.7,90.9,0.016367631,95,1.049850537,62.3,3,90,10,0,0,0,0,0
1,4,23,20.4,19.8,19.2,91,0.015932409,95,1.053155668,60.8,4,40,10,0,0,0,0,0
1,4,24,20.0,19.4,18.8,91,0.015525406,95,1.055265985,59.4,3,40,10,0,0,0,0,0
1,5,1,20.0,19.4,18.8,91,0.015525406,95,1.055265985,59.4,4,110,9,0,0,0,0,0
1,5,2,19.9,19.5,19.0,91,0.015710034,97,1.055320446,59.8,4,90,9,0,0,0,0,0
1,5,3,19.4,19.0,18.5,91,0.015211322,96,1.057951501,58.0,4,90,9,0,0,0,0,0
1,5,4,19.3,18.8,18.3,90.8,0.015008281,96,1.056323896,57.4,2,80,10,0,0,0,0,0
1,5,5,18.4,18.2,17.8,90.8,0.014559179,98,1.060332305,55.3,2,90,10,0,0,0,0,0
1,5,6,18.3,18.2,17.9,90.8,0.014600934,99,1.060626543,55.3,3,80,9,33,15,3,9,11
1,5,7,18.1,18.1,17.8,90.8,0.014548846,100,1.061441724,55.0,0,0,9,292,130,30,351,100
1,5,8,18.8,18.3,17.8,90.8,0.014528291,96,1.058930932,55.6,2,300,5,590,404,296,112,109
1,5,9,21.6,20.0,19.0,90.8,0.015757484,87,1.046849875,61.6,3,330,9,864,384,90,612,295
1,5,10,24.8,20.8,18.9,90.8,0.015605482,71,1.035853542,64.5,6,300,5,1094,750,548,729,201
1,5,11,26.0,21.1,18.8,90.7,0.015578321,66,1.030606028,65.7,9,290,4,1266,911,715,552,196
1,5,12,27.7,21.5,18.7,90.7,0.015482944,59,1.024935758,67.2,10,300,6,1367,875,565,273,310
1,5,13,28.6,22.1,19.3,90.7,0.016048189,58,1.020973458,69.6,10,300,8,1391,723,277,583,446
1,5,14,29.9,22.1,18.8,90.6,0.015526202,52,1.016304416,69.6,10,280,6,1336,855,552,727,302
1,5,15,30.4,22.4,19.0,90.6,0.015796797,52,1.014199891,70.8,8,270,5,1205,826,604,58,222
1,5,16,29.1,21.6,18.3,90.6,0.015074346,53,1.019717162,67.6,10,250,10,1009,363,39,160,324
1,5,17,27.6,21.8,19.2,90.6,0.016013492,62,1.023294464,68.4,6,290,9,759,338,79,159,259
1,5,18,27.6,21.5,18.8,90.5,0.015565663,60,1.022883009,67.3,6,250,9,473,211,49,125,161
1,5,19,27.0,21.8,19.5,90.6,0.016264599,65,1.024936618,68.5,8,270,9,171,76,18,43,58
1,5,20,23.0,20.3,18.9,90.6,0.015650219,79,1.03978102,62.8,2,300,9,1,0,0,0,0
1,5,21,22.5,20.5,19.4,90.6,0.016156987,84,1.040712345,63.6,3,300,8,0,0,0,0,0
1,5,22,21.5,20.5,19.8,90.7,0.016557134,92,1.04474184,63.6,3,360,3,0,0,0,0,0
1,5,23,21.3,19.7,18.7,90.8,0.015447442,87,1.048426168,60.5,3,360,5,0,0,0,0,0
1,5,24,20.2,19.2,18.5,90.8,0.015193244,92,1.052777385,58.8,3,360,5,0,0,0,0,0
1,6,1,20.0,19.1,18.4,90.8,0.015135723,92,1.053590751,58.4,3,300,5,0,0,0,0,0
1,6,2,19.8,19.3,18.8,90.9,0.015484638,96,1.054893462,59.1,2,310,6,0,0,0,0,0
1,6,3,19.4,19.1,18.7,90.8,0.015386691,97,1.055335876,58.4,3,330,5,0,0,0,0,0
1,6,4,19.0,18.5,18.0,90.7,0.014735468,96,1.056696633,56.4,3,50,9,0,0,0,0,0
1,6,5,18.7,18.4,18.0,90.7,0.014723444,97,1.057802816,56.0,3,30,9,0,0,0,0,0
1,6,6,18.4,18.2,17.8,90.7,0.014575701,98,1.059137047,55.3,4,40,8,31,16,6,16,10
1,6,7,18.0,18.0,17.7,90.8,0.014455539,100,1.061961966,54.6,3,310,8,289,150,58,139,93
