Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Florianopolis,-27.67,-48.55,-3,7,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,1,1,24.4,23.8,23.2,100.8,0.018474922,95,1.146,71.4,5,220,8,0,0,0,0,0
1,1,2,23.4,23.1,22.7,100.8,0.01780543,98,1.151,68.7,2,210,6,0,0,0,0,0
1,1,3,23.2,23.0,22.6,100.7,0.017754594,98,1.151,68.3,3,210,8,0,0,0,0,0
1,1,4,22.8,22.4,21.9,100.6,0.017032882,97,1.153,66.1,3,220,9,0,0,0,0,0
1,1,5,22.2,21.8,21.3,100.6,0.016399142,97,1.156,63.9,2,220,8,0,0,0,0,0
1,1,6,22.5,22.0,21.5,100.6,0.016565954,96,1.155,64.6,3,230,8,47,25,9,12,15
1,1,7,23.2,22.3,21.6,100.6,0.016715403,93,1.152,65.7,3,240,9,317,141,33,29,108
1,1,8,24.0,23.0,22.3,100.6,0.017435557,92,1.147,68.4,3,240,10,610,220,24,42,196
1,1,9,24.9,23.5,22.6,100.6,0.017829968,89,1.143,70.3,3,220,10,878,316,34,47,282
1,1,10,26.5,24.5,23.4,100.6,0.018750669,85,1.136,74.3,2,240,10,1103,397,43,50,355
1,1,11,27.6,25.1,23.9,100.6,0.019275444,82,1.130,76.8,4,230,10,1270,457,49,139,408
1,1,12,28.3,26.0,24.9,100.6,0.020511641,84,1.126,80.6,3,210,9,1368,609,142,273,466
1,1,13,30.1,27.6,26.5,100.6,0.022621496,83,1.115,87.9,4,180,8,1389,722,277,583,445
1,1,14,29.1,27.6,26.8,100.6,0.023048418,89,1.118,88.0,5,170,6,1332,853,551,151,302
1,1,15,28.6,26.1,24.9,100.5,0.020580513,82,1.123,81.1,7,180,9,1202,535,125,157,410
