Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Fortaleza,-3.78,-38.53,-3,25,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,1,1,25.4,23.4,23.15,101.0,0.017388756,89,1.146693055,69.7,0,0,9,0,0,0,0,0
1,1,2,25.5,23.5,23.25,101.0,0.017502055,89,1.146105998,70.1,0,0,9,0,0,0,0,0
1,1,3,25.3,23.5,23.24,101.0,0.017586325,90,1.14672292,70.1,3,120,6,0,0,0,0,0
1,1,4,25.2,23.2,22.95,100.9,0.017182399,89,1.146695748,69.0,2,120,6,0,0,0,0,0
1,1,5,25.1,23.1,22.85,100.9,0.017070881,89,1.147280399,68.6,2,120,4,0,0,0,0,0
1,1,6,24.9,22.9,22.65,100.9,0.016849721,89,1.148447714,67.8,0,0,5,0,0,0,0,0
1,1,7,25.1,23.5,23.23,101.0,0.01767062,91,1.147340665,70.1,3,120,6,117,82,62,145,20
1,1,8,25.6,23.7,23.45,101.0,0.017772729,90,1.145237608,70.9,3,120,4,441,187,37,66,150
1,1,9,28.2,26.3,26.04,101.1,0.02096663,90,1.130835109,81.7,4,120,9,741,371,126,176,244
1,1,10,28.5,25.6,25.4,101.2,0.019610251,85,1.133218594,78.6,5,130,8,994,497,169,198,327
1,1,11,30.2,25.9,25.77,101.2,0.019402918,79,1.127232215,79.8,4,110,8,1181,732,442,464,290
1,1,12,30.8,23.8,23.78,101.2,0.015707367,68,1.131526857,71.0,5,120,6,1290,858,597,598,261
1,1,13,30.8,23.5,23.5,101.1,0.015259333,66,1.131203537,69.8,6,120,5,1314,874,608,617,266
1,1,14,30.5,23.5,23.48,101.0,0.015403346,68,1.130945549,69.9,4,110,5,1250,831,578,632,253
1,1,15,30.5,23.8,23.77,100.9,0.015889803,69,1.128964148,71.1,5,130,5,1104,734,511,641,224
1,1,16,30.1,24.3,24.23,100.8,0.016870734,72,1.127598851,73.2,5,110,5,885,642,508,785,134
1,1,17,29.1,24.2,24.09,100.8,0.017130578,76,1.130869559,72.8,4,120,3,608,453,368,748,85
1,1,18,28.4,24.5,24.34,100.8,0.017908825,80,1.132116085,74.1,4,100,1,293,218,177,258,41
1,1,19,27.4,23.7,23.53,100.8,0.017052707,81,1.13740468,70.9,3,120,1,24,18,15,34,3
1,1,20,27,23.7,23.51,100.9,0.017202009,83,1.139784041,70.9,3,110,1,0,0,0,0,0
