Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Maceio,-9.52,-35.78,-3,115,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,1,1,24.1,22.1,21.0,100.0,0.016145009,84,1.142527549,65.18098362,0,0,0,0,0,0,0,0
1,1,2,23.1,21.6,20.7,99.9,0.015848509,88,1.145770182,63.39793152,0,0,0,0,0,0,0,0
1,1,3,22.4,21.3,20.5,99.9,0.015708928,91,1.14873529,62.32317314,0,0,3,0,0,0,0,0
1,1,4,22.4,21.4,20.7,99.9,0.015852766,92,1.148476233,62.68872722,0,0,6,0,0,0,0,0
1,1,5,22.1,21.0,20.2,99.9,0.015406716,91,1.150447735,61.24677771,0,0,3,0,0,0,0,0
1,1,6,21.4,19.9,18.9,99.9,0.014174717,87,1.155415114,57.39849452,0,0,5,0,0,0,0,0
1,1,7,22.5,21.5,20.8,100.0,0.015938453,92,1.149082641,63.00937162,0,0,5,166,109,74,138,35
1,1,8,23.6,21.8,20.7,100.0,0.015913294,86,1.144868348,64.07702163,0,0,6,490,299,174,66,125
1,1,9,27.1,23.5,21.8,100.0,0.017017212,74,1.12956784,70.49245196,5,80,9,787,327,60,83,267
1,1,10,28.6,24.0,21.9,100.1,0.01715808,69,1.124828732,72.39811081,5,90,9,1037,430,79,190,352
1,1,11,29.4,24.3,22.1,100.0,0.017323644,66,1.120443489,73.64574713,5,80,8,1222,599,192,97,407
1,1,12,29.8,24.8,22.7,100.0,0.017972737,67,1.117829145,75.71654973,6,110,9,1330,552,101,101,451
1,1,13,30.6,24.8,22.4,99.9,0.017656614,63,1.114320644,75.73441932,7,80,9,1353,562,103,488,459
1,1,14,30.8,25.0,22.6,99.9,0.017904285,63,1.113156388,76.57398796,4,110,6,1291,787,459,720,329
1,1,15,30.6,24.8,22.4,99.8,0.017677325,63,1.113169163,75.7873614,4,90,4,1146,791,585,734,206
1,1,16,30.0,24.5,22.2,99.7,0.017457101,64,1.11463852,74.60551233,4,100,4,930,642,475,848,167
1,1,17,29.7,24.4,22.1,99.7,0.017420157,65,1.115807137,74.20168049,3,90,1,656,482,387,680,95
1,1,18,29.1,24.2,22.1,99.7,0.017348216,67,1.118147947,73.39911245,6,90,4,344,237,176,385,62
1,1,19,26.2,23.0,21.4,99.8,0.016657039,77,1.131335667,68.6469834,4,90,5,49,32,22,64,10
1,1,20,25.2,22.6,21.2,99.8,0.016467033,80,1.13546547,67.13306817,5,90,3,0,0,0,0,0
1,1,21,24.6,22.6,21.5,99.9,0.01670108,84,1.138476236,67.11097828,3,80,0,0,0,0,0,0
1,1,22,24.2,22.8,21.9,100.0,0.017155035,89,1.140338347,67.85409232,3,70,0,0,0,0,0,0
1,1,23,23.7,22.4,21.6,100.0,0.016760222,90,1.142965137,66.33429196,2,70,0,0,0,0,0,0
1,1,24,23.5,22.1,21.2,100.0,0.016396951,89,1.144386579,65.20429087,0,0,0,0,0,0,0,0
1,2,1,23.0,21.7,20.8,99.9,0.016036026,89,1.1458202,63.77183717,0,0,0,0,0,0,0,0
1,2,2,22.9,22.2,21.6,99.9,0.016815287,94,1.144808961,65.6500855,0,0,0,0,0,0,0,0
1,2,3,22.6,22.1,21.6,99.9,0.016792741,96,1.14601067,65.28367278,0,0,0,0,0,0,0,0
1,2,4,22.3,21.9,21.4,99.9,0.016623212,97,1.147478875,64.54376224,0,0,0,0,0,0,0,0
1,2,5,21.4,20.5,19.8,99.9,0.014998059,92,1.153921626,59.48947475,0,0,0,0,0,0,0,0
1,2,6,21.4,20.6,19.9,100.0,0.015121456,93,1.154852977,59.80285778,0,0,1,0,0,0,0,0
1,2,7,23.0,22.4,21.8,100.0,0.01705473,95,1.145138719,66.36190694,3,30,8,163,80,26,60,54
1,2,8,24.5,23.0,22.1,100.1,0.017316632,88,1.140039946,68.57468063,3,40,8,488,239,77,136,163
1,2,9,27.0,24.0,22.6,100.2,0.017811966,78,1.130797605,72.41579271,4,70,8,785,385,123,388,262
1,2,10,28.0,24.5,22.9,100.2,0.018197939,75,1.126363149,74.4327692,4,90,6,1036,632,368,429,264
1,2,11,28.3,24.5,22.8,100.2,0.018071443,74,1.125464594,74.41979618,4,90,6,1221,745,434,97,311
1,2,12,29.0,24.3,22.2,100.1,0.017471907,68,1.122788317,73.61180534,3,90,9,1330,552,101,101,451
