Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Porto Alegre,-30.00,-51.18,-3,4,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,1,1,22.5,18.7,16.5,100.7,0.012020695,70,1.164276728,53.1,3,120,3,0,0,0,0,0
1,1,2,21.8,18.3,16.2,100.6,0.011816209,72,1.166257123,51.8,3,110,4,0,0,0,0,0
1,1,3,20.5,17.5,15.6,100.6,0.011361026,75,1.172262105,49.3,3,90,4,0,0,0,0,0
1,1,4,20.2,17.1,15.1,100.6,0.010999742,74,1.174130726,48.1,3,90,8,0,0,0,0,0
1,1,5,19.7,16.8,14.9,100.6,0.010847335,75,1.176418649,47.2,2,90,10,0,0,0,0,0
1,1,6,21.0,17.2,14.8,100.6,0.010789587,69,1.171326341,48.4,0,0,9,65,26,4,10,22
1,1,7,21.0,17.3,15.0,100.7,0.010898024,70,1.172289784,48.7,2,350,6,340,200,108,252,93
1,1,8,24.8,19.9,17.3,100.7,0.012638725,64,1.154164079,57.0,0,0,1,624,446,347,618,99
1,1,9,26.6,20.5,17.3,100.8,0.012689823,58,1.148280119,58.9,5,330,0,885,629,485,674,144
1,1,10,28.5,21.1,17.4,100.7,0.01274924,52,1.139808757,61.0,5,330,0,1104,784,604,705,180
1,1,11,30.2,21.8,17.7,100.7,0.013039845,48,1.13290247,63.5,4,330,4,1267,849,598,627,251
1,1,12,30.5,21.7,17.4,100.7,0.012771289,46,1.132262038,63.1,5,300,9,1362,538,82,82,456
1,1,13,31.7,22.2,17.7,100.6,0.013015929,44,1.126251003,65.0,5,320,9,1382,546,83,85,463
1,1,14,33.0,23.3,19.0,100.6,0.014126003,44,1.119511498,69.2,4,270,10,1327,411,24,26,387
1,1,15,28.8,22.8,20.0,100.6,0.015116932,60,1.133317921,67.4,8,180,10,1200,372,22,27,350
1,1,16,26.7,22.2,20.0,100.6,0.015099365,68,1.141286585,65.2,11,180,10,1010,313,18,28,295
1,1,17,24.3,21.4,19.8,100.7,0.014924433,78,1.151955097,62.3,3,170,10,770,239,14,28,225
1,1,18,24.3,22.0,20.7,100.6,0.015810146,82,1.149212963,64.5,1,160,10,496,154,9,23,145
1,1,19,22.8,20.8,19.6,100.7,0.014704035,84,1.158194491,60.2,1,120,10,207,64,4,9,60
1,1,20,21.0,19.4,18.3,100.7,0.013554496,86,1.167389633,55.4,0,0,10,7,2,0,0,2
1,1,21,21.0,19.6,18.6,100.7,0.013819644,88,1.166902787,56.1,3,30,10,0,0,0,0,0
1,1,22,20.8,19.5,18.6,100.7,0.01377021,89,1.167787532,55.8,0,0,10,0,0,0,0,0
1,1,23,20.5,19.5,18.7,100.7,0.013895377,91,1.168750464,55.8,0,0,10,0,0,0,0,0
1,1,24,21.5,20.1,19.2,100.8,0.01426819,88,1.165257376,57.7,0,0,10,0,0,0,0,0
1,2,1,20.2,19.1,18.3,100.7,0.013494127,90,1.170684448,54.4,0,0,10,0,0,0,0,0
1,2,2,19.3,18.1,17.2,100.7,0.012589109,89,1.175961962,51.2,0,0,10,0,0,0,0,0
1,2,3,19.2,18.2,17.4,100.7,0.012756399,91,1.17605416,51.5,0,0,10,0,0,0,0,0
1,2,4,19.6,18.5,17.7,100.6,0.01298373,90,1.172860902,52.5,0,0,10,0,0,0,0,0
1,2,5,19.7,18.6,17.8,100.7,0.01305619,90,1.173491954,52.8,3,360,10,0,0,0,0,0
1,2,6,20.0,18.9,18.1,100.7,0.013317439,90,1.171808958,53.8,5,300,10,63,20,1,3,18
1,2,7,20.2,19.1,18.3,100.7,0.013494127,90,1.170684448,54.4,2,190,10,337,104,6,14,98
1,2,8,20.1,19.1,18.3,100.8,0.013521671,91,1.172195793,54.4,3,330,10,622,193,11,20,181
1,2,9,20.3,19.4,18.7,100.8,0.013832012,92,1.170825113,55.4,3,20,10,883,274,16,22,258
1,2,10,20.4,19.5,18.8,100.8,0.013922595,92,1.170259535,55.7,1,80,10,1102,342,20,23,322
1,2,11,21.1,19.3,18.1,100.7,0.013381078,85,1.167311429,55.1,0,0,10,1265,392,23,24,369
1,2,12,24.1,21.3,19.8,100.7,0.014865421,78,1.152836991,61.9,1,330,9,1361,538,82,82,455
1,2,13,24.3,21.2,19.5,100.7,0.014639752,76,1.152470235,61.6,3,330,10,1382,428,25,26,403
1,2,14,25.0,21.0,18.9,100.7,0.014065321,70,1.150802856,60.8,3,330,10,1327,412,24,26,387
1,2,15,26.2,21.8,19.6,100.6,0.014722975,68,1.143868675,63.7,2,300,6,1201,709,382,479,327
1,2,16,27.0,21.2,18.3,100.6,0.013529822,60,1.142961783,61.5,0,0,6,1011,597,321,497,275
1,2,17,28.4,21.4,17.9,100.6,0.013231109,54,1.13819038,62.2,0,0,5,771,490,311,633,178
1,2,18,27.6,21.7,18.8,100.5,0.014010787,60,1.138685888,63.3,3,120,6,497,293,158,400,135
1,2,19,26.9,21.8,19.3,100.5,0.01444752,64,1.140559147,63.7,5,150,8,208,98,27,52,70
1,2,20,25.2,21.7,19.9,100.6,0.014996069,74,1.147210588,63.4,7,150,8,7,3,1,0,2
1,2,21,24.0,22.2,21.2,100.6,0.016230799,86,1.149614959,65.3,6,150,9,0,0,0,0,0
1,2,22,23.2,22.3,21.6,100.6,0.016715403,93,1.151843726,65.7,3,140,6,0,0,0,0,0
1,2,23,22.8,22.1,21.5,100.7,0.016569952,94,1.154810048,64.9,3,120,9,0,0,0,0,0
1,2,24,22.3,21.8,21.3,100.7,0.016340234,96,1.157180675,63.8,3,120,10,0,0,0,0,0
1,3,1,22.0,21.4,20.8,100.7,0.015888054,95,1.159178037,62.4,3,150,10,0,0,0,0,0
1,3,2,21.7,21.2,20.7,100.6,0.015744629,96,1.159465881,61.7,2,150,10,0,0,0,0,0
1,3,3,21.6,20.9,20.3,100.6,0.015362301,94,1.160555042,60.6,2,180,10,0,0,0,0,0
1,3,4,21.0,20.5,20.0,100.5,0.015071521,96,1.162296622,59.3,2,180,10,0,0,0,0,0
