Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Recife,-8.13,-34.92,-3,11,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,1,1,25.8,22.9,21.42,101.2,0.016417647,78,1.149171862,67.6,2,30,3,0,0,0,0,0
1,1,2,25.7,22.8,21.32,101.2,0.016308451,78,1.149753058,67.2,2,60,6,0,0,0,0,0
1,1,3,25.6,22.8,21.36,101.2,0.016350439,79,1.150062258,67.2,3,60,6,0,0,0,0,0
1,1,4,25.6,23.4,22.22,101.2,0.017267509,83,1.148412337,69.6,2,30,4,0,0,0,0,0
1,1,5,25.5,23.1,21.83,101.2,0.016848076,82,1.149551148,68.4,2,30,3,0,0,0,0,0
1,1,6,25.4,22.8,21.44,101.2,0.016434432,80,1.150681277,67.3,2,20,3,0,0,0,0,0
1,1,7,26,23.2,21.78,101.3,0.016772773,79,1.148899237,68.7,2,30,4,154,84,38,89,47
1,1,8,26.7,23.7,22.23,101.3,0.017252821,78,1.145356334,70.7,2,60,6,479,285,157,279,128
1,1,9,27.6,24,22.31,101.3,0.017346337,74,1.141761798,71.8,4,70,5,777,427,192,267,235
1,1,10,27.7,24.3,22.71,101.3,0.017782408,76,1.14060429,73.1,5,60,6,1027,365,37,43,328
1,1,11,28.1,24.4,22.7,101.3,0.017774596,74,1.139103703,73.5,4,50,9,1213,431,44,46,387
1,1,12,28.2,24.3,22.52,101.3,0.017571791,73,1.139086805,73.0,2,80,9,1321,357,12,12,345
1,1,13,28.4,24.2,22.29,101.2,0.017347039,71,1.137607381,72.7,5,30,10,1345,847,530,538,317
1,1,14,28.4,23.4,21.1,101.2,0.016091101,66,1.139846617,69.5,6,30,4,1282,763,419,458,344
1,1,15,28.3,23.4,21.14,101.1,0.01615149,67,1.138990235,69.5,5,70,5,1137,677,372,466,305
1,1,16,28.3,24.1,22.19,101.1,0.017249035,71,1.137034571,72.3,5,80,5,920,547,301,465,247
1,1,17,27.9,24,22.2,101,0.017277676,73,1.137368211,72.0,4,40,5,645,355,159,324,196
1,1,18,27.3,23.4,21.55,101,0.016589663,72,1.140867443,69.6,4,70,6,332,143,30,75,113
1,1,19,26.4,23.1,21.47,101.1,0.016487988,76,1.145610565,68.4,3,60,8,42,27,17,39,10
1,1,20,26.5,23.5,22.02,101.1,0.017062436,78,1.144198759,70.0,4,60,4,0,0,0,0,0
1,1,21,26.6,23.5,21.97,101.3,0.016983211,77,1.146221891,69.9,4,30,4,0,0,0,0,0
1,1,22,26.5,23.5,22.01,101.3,0.017025271,78,1.146528939,69.9,4,30,4,0,0,0,0,0
1,1,23,26.4,23.4,21.91,101.3,0.016912452,78,1.147114222,69.5,4,30,5,0,0,0,0,0
1,1,24,26.3,23,21.36,101.3,0.016341498,76,1.148523706,67.9,4,30,4,0,0,0,0,0
1,2,1,25.9,23.9,22.82,101.2,0.01792344,85,1.146084259,71.6,2,60,4,0,0,0,0,0
1,2,2,25.2,23.6,22.66,101.2,0.017747089,88,1.149089929,70.4,4,20,3,0,0,0,0,0
1,2,3,25.7,23.5,22.33,101.2,0.017380546,83,1.147825089,70.0,0,0,3,0,0,0,0,0
1,2,4,25.5,23.5,22.41,101.2,0.017464786,85,1.148442447,70.0,3,20,4,0,0,0,0,0
1,2,5,25.6,23.6,22.51,101.2,0.017578485,85,1.147853929,70.4,0,0,8,0,0,0,0,0
1,2,6,25.6,22.9,21.5,101.3,0.016483783,80,1.150958249,67.6,3,80,5,0,0,0,0,0
1,2,7,25.8,22.7,21.13,101.3,0.016098301,77,1.150883124,66.8,5,80,6,151,95,60,139,36
1,2,8,26.7,23.1,21.35,101.4,0.01630776,74,1.148184535,68.3,5,60,4,476,283,156,278,128
1,2,9,27.1,23,21.03,101.4,0.015987905,71,1.147229801,67.9,4,40,5,775,461,253,352,208
1,2,10,27.7,23,20.78,101.5,0.015718539,67,1.146555071,67.8,4,20,5,1026,564,253,296,311
1,2,11,28,23.9,22,101.5,0.016982138,71,1.143147706,71.3,5,60,6,1212,667,299,314,367
1,2,12,28.2,24,22.07,101.4,0.01707481,71,1.141098012,71.8,5,30,6,1321,727,326,327,400
1,2,13,28.3,23.2,20.83,101.4,0.015789387,65,1.143018638,68.6,5,60,6,1345,740,332,338,408
1,2,14,28.4,23,20.49,101.2,0.015479171,63,1.140940836,67.9,5,60,6,1283,808,506,553,303
1,2,15,28,23,20.66,101.2,0.015646638,66,1.142156219,67.9,4,30,4,1139,626,281,353,345
1,2,16,27.5,23.5,21.62,101.2,0.016623504,72,1.142305613,69.9,4,80,6,922,396,82,127,314
1,2,17,27.4,23.5,21.66,101.1,0.016684098,72,1.141448239,70.0,3,90,8,647,230,23,47,207
1,2,18,26.8,23.3,21.6,101.1,0.016626834,75,1.143834078,69.2,4,60,9,334,90,3,8,87
1,2,19,26.5,23,21.28,101.2,0.016275519,75,1.146742636,68.0,3,80,10,43,19,4,9,15
1,2,20,26,23,21.49,101.2,0.016485454,78,1.148281603,68.0,2,90,8,0,0,0,0,0
1,2,21,26,23,21.49,101.3,0.016467474,78,1.14944864,68.0,2,60,8,0,0,0,0,0
1,2,22,26,23.5,22.21,101.4,0.017217129,81,1.1492339,69.9,0,0,6,0,0,0,0,0
1,2,23,26,23.5,22.21,101.3,0.017235662,81,1.148067245,69.9,2,30,4,0,0,0,0,0
1,2,24,26,23.5,22.21,101.3,0.017235662,81,1.148067245,69.9,0,0,4,0,0,0,0,0
1,3,1,26,23.5,22.21,101.2,0.017254233,81,1.14690059,70.0,3,40,5,0,0,0,0,0
1,3,2,26,23.4,22.07,101.2,0.017099154,81,1.147178902,69.6,0,0,8,0,0,0,0,0
1,3,3,26,23.4,22.07,101.2,0.017099154,81,1.147178902,69.6,2,40,8,0,0,0,0,0
1,3,4,25.8,23.3,22,101.1,0.017047241,81,1.146905206,69.2,0,0,5,0,0,0,0,0
1,3,5,25.7,23.3,22.04,101.1,0.017089315,82,1.147213443,69.2,2,40,5,0,0,0,0,0
1,3,6,25.4,23.2,22.02,101.1,0.017061595,83,1.148416043,68.9,2,330,4,0,0,0,0,0
1,3,7,25,22.5,21.16,101.3,0.016134962,81,1.15390489,66.1,0,0,4,148,97,66,154,31
1,3,8,26,23,21.49,101.3,0.016467474,78,1.14944864,68.0,0,0,3,474,311,210,375,101
1,3,9,27,23,21.07,101.4,0.01602984,71,1.147536588,67.9,0,0,3,773,460,253,352,207
1,3,10,27.5,23,20.86,101.4,0.015820227,68,1.146004681,67.9,5,60,5,1025,364,37,43,327
1,3,11,27.9,23.2,21,101.4,0.015957015,67,1.144236597,68.6,4,120,9,1212,521,108,113,413
1,3,12,27.9,23.2,21,101.4,0.015957015,67,1.144236597,68.6,5,130,8,1321,786,432,433,354
1,3,13,27.7,23.1,20.93,101.3,0.015906356,68,1.14395892,68.3,4,120,5,1346,882,596,606,285
1,3,14,27.7,23.1,20.93,101.3,0.015906356,68,1.14395892,68.3,4,120,3,1284,867,619,677,248
1,3,15,28.3,23.8,21.74,101.2,0.016755655,69,1.139038402,71.1,7,60,1,1140,718,449,564,269
1,3,16,28,24,22.16,101.2,0.017197185,72,1.139385468,71.9,5,90,4,924,328,33,51,295
1,3,17,27.3,23.4,21.55,101.1,0.016571154,72,1.142030117,69.6,4,100,9,650,231,23,48,207
