Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Rio de Janeiro,-22.83,-43.25,-3,5,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,1,1,26.0,25.0,24.3,100.9,0.019724214,92,1.139,76.3,0,0,10,0,0,0,0,0
1,1,2,26.0,25.0,24.3,100.8,0.019744836,92,1.138,76.3,0,0,10,0,0,0,0,0
1,1,3,26.0,25.0,24.3,100.8,0.019744836,92,1.138,76.3,0,0,10,0,0,0,0,0
1,1,4,25.4,24.4,23.7,100.7,0.019033193,92,1.140,73.9,0,0,10,0,0,0,0,0
1,1,5,25.4,24.4,23.7,100.7,0.019033193,92,1.140,73.9,0,0,10,0,0,0,0,0
1,1,6,25.4,24.4,23.7,100.7,0.019033193,92,1.140,73.9,0,0,10,27,9,1,2,8
1,1,7,25.4,24.4,23.7,100.7,0.019033193,92,1.140,73.9,0,0,10,283,117,21,50,96
1,1,8,26.0,25.0,24.3,100.8,0.019744836,92,1.138,76.3,0,0,9,586,193,15,26,179
1,1,9,28.9,27.5,26.7,100.8,0.022899595,90,1.121,87.4,0,0,10,863,358,66,91,293
1,1,10,29.0,27.9,27.2,100.9,0.023579186,92,1.121,89.2,0,0,9,1097,537,172,201,365
1,1,11,29.5,27.9,27.1,100.9,0.023365324,89,1.120,89.2,0,0,8,1269,527,96,101,430
1,1,12,31.6,27.9,26.4,100.9,0.022468829,76,1.113,89.1,0,0,9,1370,569,104,104,465
1,1,13,32.5,29.5,28.3,100.7,0.025251143,80,1.103,97.1,3,270,9,1392,578,106,107,472
1,1,14,33.1,28.5,26.8,100.8,0.022995526,71,1.106,92.0,3,300,9,1334,553,101,111,452
1,1,15,28.2,27.4,26.8,100.7,0.023037922,94,1.123,87.0,5,140,9,1199,587,188,236,399
1,1,16,28.4,27.3,26.6,100.6,0.022792253,92,1.121,86.6,5,150,8,996,488,156,242,332
1,1,17,28.5,26.6,25.6,100.5,0.021505172,86,1.122,83.4,5,150,8,741,307,56,114,251
1,1,18,28.2,26.6,25.7,100.5,0.021632867,88,1.123,83.4,4,150,9,449,186,34,86,152
1,1,19,28.0,25.9,24.9,100.5,0.02048764,85,1.126,80.3,4,180,9,141,47,4,8,43
1,1,20,28.4,26.4,25.4,100.7,0.021147203,86,1.125,82.4,3,240,10,0,0,0,0,0
1,1,21,27.9,25.7,24.6,100.8,0.020120544,84,1.130,79.2,4,30,9,0,0,0,0,0
1,1,22,26.7,25.2,24.3,100.8,0.019782193,89,1.135,77.1,2,320,9,0,0,0,0,0
1,1,23,26.6,24.9,24.0,100.8,0.019324738,87,1.136,75.9,0,0,8,0,0,0,0,0
1,1,24,26.5,24.6,23.6,100.8,0.018873665,86,1.138,74.6,1,70,6,0,0,0,0,0
1,2,1,25.6,24.4,23.6,100.8,0.018928698,91,1.141,73.8,3,350,6,0,0,0,0,0
1,2,2,25.2,24.3,23.6,100.8,0.018936049,93,1.142,73.4,0,0,9,0,0,0,0,0
1,2,3,25.0,24.4,23.8,100.7,0.019202482,95,1.142,73.9,0,0,10,0,0,0,0,0
1,2,4,24.8,24.3,23.8,100.6,0.019144891,96,1.141,73.5,0,0,10,0,0,0,0,0
1,2,5,24.5,23.9,23.3,100.5,0.018649156,95,1.142,72.0,0,0,9,0,0,0,0,0
1,2,6,24.3,23.7,23.1,100.5,0.018416481,95,1.143,71.2,0,0,10,25,8,1,2,8
1,2,7,24.6,24.0,23.4,100.5,0.018766477,95,1.142,72.4,0,0,10,280,92,7,16,85
1,2,8,26.3,24.7,23.8,100.5,0.019182945,88,1.134,75.2,2,260,10,583,242,44,79,198
1,2,9,28.4,24.8,23.2,100.7,0.018419352,75,1.130,75.4,3,280,9,861,357,65,91,292
1,2,10,28.9,25.0,23.3,100.7,0.018538853,73,1.128,76.2,2,300,9,1095,454,83,97,371
1,2,11,29.0,25.0,23.2,100.7,0.018496648,73,1.128,76.2,3,290,9,1268,621,199,209,422
1,2,12,31.3,25.8,23.6,100.7,0.018874867,65,1.119,79.6,2,280,8,1370,568,104,104,464
1,2,13,30.4,26.0,24.2,100.7,0.019599682,71,1.121,80.5,5,240,9,1392,578,106,107,472
1,2,14,29.3,25.5,23.8,100.7,0.019208485,74,1.125,78.4,3,250,9,1334,440,33,36,407
1,2,15,29.2,25.3,23.6,100.7,0.01891316,73,1.126,77.5,5,260,10,1200,588,188,236,400
1,2,16,29.2,25.4,23.7,100.6,0.019102789,74,1.125,78.0,4,250,8,998,329,25,39,304
1,2,17,28.1,24.9,23.4,100.6,0.018731528,77,1.130,75.9,7,260,10,742,308,56,115,252
1,2,18,25.2,23.6,22.7,100.6,0.017860105,88,1.142,70.7,0,0,9,451,221,71,179,150
1,2,19,25.8,23.6,22.4,100.7,0.017588262,83,1.141,70.6,4,270,8,143,87,51,119,36
1,2,20,25.6,24.0,23.1,100.7,0.018305043,88,1.141,72.2,2,340,6,0,0,0,0,0
1,2,21,24.8,24.3,23.8,100.8,0.019105306,96,1.144,73.4,4,360,6,0,0,0,0,0
1,2,22,24.6,24.2,23.7,100.8,0.019028676,97,1.145,73.0,0,0,6,0,0,0,0,0
1,2,23,24.5,23.8,23.2,100.9,0.018413559,94,1.147,71.4,3,30,5,0,0,0,0,0
1,2,24,24.4,23.8,23.2,100.9,0.018455811,95,1.147,71.4,3,330,1,0,0,0,0,0
1,3,1,24.4,23.7,23.1,100.9,0.018298048,94,1.148,71.0,0,0,0,0,0,0,0,0
1,3,2,23.9,23.4,22.9,100.9,0.018039795,96,1.150,69.8,0,0,0,0,0,0,0,0
1,3,3,23.5,23.0,22.5,100.8,0.017609875,96,1.151,68.3,2,20,0,0,0,0,0,0
1,3,4,23.2,22.8,22.3,100.8,0.017431503,97,1.153,67.5,0,0,1,0,0,0,0,0
1,3,5,23.0,22.5,22.0,100.8,0.01706322,96,1.154,66.4,0,0,0,0,0,0,0,0
1,3,6,23.2,22.8,22.3,100.9,0.017413572,97,1.154,67.5,2,30,5,24,10,2,5,8
1,3,7,23.5,22.6,21.9,100.9,0.016985218,93,1.154,66.7,2,360,9,277,115,21,49,94
1,3,8,24.2,22.8,21.9,101,0.016974568,89,1.152,67.4,3,330,9,580,192,14,26,177
1,3,9,25.0,23.5,22.6,101,0.017712777,88,1.148,70.1,3,340,10,859,356,65,91,291
1,3,10,26.8,24.3,23.1,101.1,0.018201033,82,1.141,73.2,3,340,9,1093,361,27,32,333
1,3,11,28.0,25.5,24.3,101.1,0.019673701,82,1.134,78.2,2,290,10,1267,418,32,33,387
1,3,12,29.7,25.6,23.8,101.1,0.01912383,72,1.128,78.6,2,290,10,1369,568,104,104,464
1,3,13,26.8,24.7,23.6,101,0.018870163,84,1.139,74.9,5,130,9,1392,459,35,35,425
1,3,14,26.9,24.8,23.7,101,0.01899202,84,1.138,75.3,4,140,10,1335,654,209,229,445
1,3,15,26.4,24.8,23.9,101,0.019203543,88,1.140,75.3,6,130,8,1201,733,427,536,306
1,3,16,26.2,24.7,23.8,100.9,0.019144115,89,1.139,75.0,7,130,6,999,690,510,791,179
1,3,17,25.8,24.3,23.4,100.8,0.018682351,89,1.141,73.4,8,130,4,744,532,414,843,118
1,3,18,26.0,24.6,23.8,100.8,0.019085135,89,1.139,74.6,7,150,3,452,323,252,633,72
1,3,19,25.8,24.2,23.3,100.8,0.018521284,88,1.141,73.0,7,170,3,144,95,64,150,31
1,3,20,25.2,24.1,23.4,100.8,0.018614382,91,1.143,72.6,7,170,5,0,0,0,0,0
1,3,21,24.7,23.2,22.3,100.9,0.017392942,88,1.148,69.0,5,170,5,0,0,0,0,0
1,3,22,24.5,23.1,22.2,101,0.017305249,89,1.150,68.5,5,160,3,0,0,0,0,0
1,3,23,24.3,22.9,22.0,101.1,0.017066215,89,1.153,67.7,0,0,1,0,0,0,0,0
1,3,24,24.5,23.0,22.1,101.1,0.017134225,88,1.152,68.1,0,0,9,0,0,0,0,0
1,4,1,24.2,22.8,21.9,101.1,0.016956723,89,1.153,67.3,4,160,9,0,0,0,0,0
1,4,2,23.8,22.5,21.7,101.1,0.016673975,90,1.155,66.2,7,170,10,0,0,0,0,0
1,4,3,23.7,22.3,21.4,101.1,0.016418438,89,1.156,65.5,5,150,10,0,0,0,0,0
1,4,4,23.4,22.0,21.1,101.1,0.016102693,89,1.158,64.4,3,140,5,0,0,0,0,0
1,4,5,23.3,21.9,21.0,101,0.016015473,89,1.157,64.0,2,150,9,0,0,0,0,0
1,4,6,23.3,22.0,21.1,101.1,0.016144679,89,1.158,64.4,3,140,8,23,9,2,4,8
1,4,7,23.5,22.0,21.1,101.1,0.016060713,88,1.158,64.3,2,140,9,274,114,21,49,93
1,4,8,23.8,22.1,21.1,101.1,0.016081389,86,1.156,64.7,0,0,9,578,240,44,78,196
1,4,9,24.8,22.7,21.5,101.1,0.016553533,84,1.152,66.9,3,110,9,857,561,379,528,182
1,4,10,25.8,23.3,22.0,101.1,0.017047241,81,1.147,69.2,3,130,5,1091,715,483,564,231
1,4,11,26.1,23.5,22.2,101.1,0.017230748,81,1.145,70.0,3,130,5,1266,905,704,738,201
1,4,12,26.3,23.4,22.0,101,0.017009959,79,1.144,69.6,3,130,3,1369,979,761,763,217
1,4,13,27.2,23.2,21.3,101,0.016323468,72,1.142,68.8,3,130,3,1392,1016,810,823,206
1,4,14,27.5,23.1,21.0,101,0.016044539,69,1.141,68.4,8,180,0,1336,975,777,849,198
1,4,15,26.8,22.9,21.0,100.9,0.016051769,72,1.143,67.7,9,160,0,1202,877,699,878,178
1,4,16,25.7,22.6,21.0,100.9,0.016060779,77,1.147,66.6,8,160,0,1001,715,557,864,159
1,4,17,25.9,22.6,20.9,100.9,0.015976888,76,1.146,66.6,6,160,3,746,544,434,885,111
1,4,18,25.6,22.4,20.8,100.9,0.015804111,76,1.148,65.9,8,180,0,454,331,264,635,67
1,4,19,25.3,22.1,20.5,100.9,0.015486552,76,1.149,64.7,8,180,0,146,106,85,200,22
1,4,20,24.9,22.0,20.5,101,0.015490575,78,1.152,64.3,7,170,0,0,0,0,0,0
1,4,21,24.2,22.2,21.1,101,0.016077829,84,1.154,65.1,6,160,8,0,0,0,0,0
1,4,22,24.3,22.3,21.2,101.1,0.016166438,84,1.154,65.4,4,180,8,0,0,0,0,0
1,4,23,24.2,22.2,21.1,101.2,0.016043536,84,1.156,65.0,3,190,3,0,0,0,0,0
1,4,24,24.1,22.2,21.1,101.2,0.016085507,85,1.156,65.0,1,180,0,0,0,0,0,0
