Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,,,
São Luis,-2.58,-44.23,-3,53,,,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2},,
1,1,1,25.2,22.6,21.2,100.3,0.01236,80,1.141314761,66.9,5,100,0,0,0,0,0,0,,
1,1,2,24.8,23.4,22.5,100.2,0.01083,89,1.139184007,70.1,0,0,0,0,0,0,0,0,,
1,1,3,24.4,23.3,22.6,100.2,0.00984,91,1.140692614,69.7,0,0,0,0,0,0,0,0,,
1,1,4,24.1,23.1,22.4,100.2,0.00947,92,1.142171271,68.9,0,0,0,0,0,0,0,0,,
1,1,5,23.9,23,22.3,100.2,0.00894,93,1.143064834,68.6,3,60,0,0,0,0,0,0,,
1,1,6,23.6,22.9,22.3,100.2,0.00803,94,1.144268617,68.2,2,80,3,0,0,0,0,0,,
1,1,7,24.5,22.6,21.5,100.2,0.01149,85,1.142299985,67.0,4,90,4,108,75,56,131,19,,
1,1,8,25.3,24,23.2,100.3,0.01077,90,1.137133605,72.4,4,90,3,430,288,203,361,85,,
1,1,9,27.4,24.4,23.0,100.4,0.01375,78,1.13077592,73.9,5,90,4,731,522,406,565,116,,
1,1,10,29.6,24.6,22.4,100.4,0.01473,67,1.123614464,74.7,10,100,1,983,624,397,463,227,,
1,1,11,30.2,24.3,21.8,100.4,0.01454,62,1.122688951,73.4,8,90,5,1171,743,473,495,271,,
1,1,12,31.1,25,22.5,100.4,0.01520,61,1.118027363,76.3,8,90,5,1280,858,604,606,253,,
1,1,13,32,25.5,22.9,100.4,0.01566,60,1.113929907,78.4,9,90,4,1304,906,678,689,228,,
1,1,14,31.9,25.5,22.9,100.3,0.01568,60,1.113074723,78.5,8,70,3,1240,887,690,754,197,,
1,1,15,31.2,25.7,23.5,100.2,0.01581,65,1.113378644,79.4,8,80,1,1094,782,609,763,174,,
1,1,16,30.7,25,22.6,100.2,0.01517,63,1.116902552,76.4,8,70,1,875,626,487,753,139,,
1,1,17,29.9,24.8,22.6,100.1,0.01497,66,1.118687452,75.7,10,80,1,598,424,327,664,97,,
1,1,18,29.6,24.6,22.4,100.1,0.01480,67,1.120150432,74.8,6,80,0,282,196,146,222,49,,
1,1,19,27.5,23.7,21.9,100.2,0.01381,73,1.130130237,71.2,3,90,3,20,14,11,25,3,,
1,1,20,26.2,23.6,22.3,100.2,0.01297,81,1.134346565,70.8,7,60,0,0,0,0,0,0,,
1,1,21,26,24.1,23.1,100.2,0.01224,86,1.133546258,72.9,6,60,5,0,0,0,0,0,,
1,1,22,25.8,23.4,22.2,100.3,0.01255,82,1.137288982,70.0,0,0,0,0,0,0,0,0,,
1,1,23,25.6,23,21.7,100.4,0.01260,80,1.140170125,68.4,3,70,0,0,0,0,0,0,,
1,1,24,25.4,22.5,21.0,100.3,0.01251,78,1.140969017,66.5,5,90,0,0,0,0,0,0,,
1,2,1,25.2,23.1,22.0,100.3,0.01206,84,1.139954527,68.8,5,100,0,0,0,0,0,0,,
1,2,2,25.1,23.6,22.7,100.2,0.01121,88,1.13770537,70.9,0,0,0,0,0,0,0,0,,
1,2,3,24.8,23.2,22.3,100.2,0.01125,88,1.139738076,69.3,0,0,0,0,0,0,0,0,,
1,2,4,24.4,23,22.1,100.2,0.01066,89,1.141520048,68.5,0,0,0,0,0,0,0,0,,
1,2,5,24.2,23,22.2,100.2,0.01012,90,1.142137342,68.5,0,0,0,0,0,0,0,0,,
1,2,6,24,23.1,22.4,100.2,0.00895,93,1.142480346,68.9,0,0,0,0,0,0,0,0,,
1,2,7,25.3,23,21.8,100.3,0.01229,82,1.13992164,68.4,3,70,3,106,71,50,117,21,,
1,2,8,26.4,23.2,21.6,100.3,0.01315,77,1.136010796,69.2,3,80,4,428,272,173,308,99,,
1,2,9,29,24.5,22.5,100.4,0.01461,69,1.125688044,74.3,4,90,5,729,430,232,322,199,,
1,2,10,30.2,25,22.8,100.4,0.01514,66,1.120680498,76.3,5,100,6,982,579,312,364,268,,
1,2,11,31,25.4,23.1,100.4,0.01553,64,1.117152085,78.0,4,90,6,1170,690,372,390,319,,
1,2,12,31.3,25.4,23.0,100.4,0.01555,63,1.116271694,78.0,8,90,6,1280,813,517,518,296,,
1,2,13,32.2,25.3,22.5,100.3,0.01543,58,1.112787483,77.6,5,90,5,1305,907,678,689,228,,
1,2,14,32.8,25.4,22.4,100.3,0.01552,56,1.110751083,78.0,8,90,3,1242,863,646,706,217,,
1,2,15,33.1,25,21.7,100.2,0.01505,52,1.1098994,76.3,8,90,3,1096,778,600,753,178,,
1,2,16,32.2,25,22.0,100.1,0.01516,56,1.11136626,76.4,9,90,0,877,623,480,743,143,,
1,2,17,31,25,22.5,100.1,0.01521,62,1.114871032,76.5,7,90,0,600,426,329,668,98,,
1,2,18,29.2,24.6,22.6,100.1,0.01471,69,1.121337097,74.8,6,60,0,284,202,155,231,46,,
1,2,19,28,24.4,22.8,100.2,0.01418,75,1.126649704,74.0,6,60,0,21,14,11,25,4,,
1,2,20,27,25,24.0,100.2,0.01286,85,1.127917184,76.6,3,80,3,0,0,0,0,0,,
1,2,21,27.1,24.5,23.2,100.3,0.01351,81,1.130231985,74.4,5,70,4,0,0,0,0,0,,
1,2,22,26.9,24.6,23.4,100.4,0.01315,83,1.131710476,74.8,5,70,4,0,0,0,0,0,,
1,2,23,26.6,24.2,23.0,100.4,0.01308,82,1.133768746,73.2,5,70,4,0,0,0,0,0,,
1,2,24,26.1,24.4,23.5,100.4,0.01195,87,1.134715199,74.0,5,70,4,0,0,0,0,0,,
1,3,1,26,24.5,23.6,100.3,0.01144,89,1.133565197,74.5,5,70,3,0,0,0,0,0,,
1,3,2,25,23.5,22.6,100.3,0.01107,88,1.13946125,70.4,0,0,0,0,0,0,0,0,,
1,3,3,24.2,22.6,21.6,100.2,0.01095,87,1.14322668,67.0,0,0,0,0,0,0,0,0,,
1,3,4,24,23,22.3,100.2,0.00933,92,1.142755463,68.5,3,60,0,0,0,0,0,0,,
1,3,5,24.1,23.2,22.5,100.2,0.00910,93,1.141895193,69.3,4,60,0,0,0,0,0,0,,
1,3,6,24,23.3,22.7,100.2,0.00807,94,1.141926953,69.7,4,70,0,0,0,0,0,0,,
1,3,7,24,23.6,23.1,100.3,0.00618,97,1.142261789,70.9,5,90,0,104,74,57,134,17,,
1,3,8,25.7,23.1,21.8,100.3,0.01261,80,1.138421956,68.8,5,90,0,425,168,26,46,142,,
1,3,9,27.3,23.9,22.3,100.5,0.01369,76,1.13366034,71.8,2,80,9,727,287,44,61,243,,
1,3,10,30,24.5,22.1,100.6,0.01471,64,1.125020302,74.1,5,90,9,981,304,18,21,286,,
1,3,11,28.4,24.5,22.7,100.6,0.01436,73,1.129799213,74.2,4,70,10,1170,462,71,74,391,,
1,3,12,29.2,24.2,22.0,100.6,0.01439,67,1.128257489,72.9,6,90,9,1280,755,407,408,349,,
1,3,13,30.8,24.7,22.1,100.5,0.01490,61,1.120926714,75.0,8,60,6,1305,614,172,175,441,,
1,3,14,31,25.5,23.2,100.5,0.01555,65,1.118006671,78.4,4,90,8,1243,584,164,179,420,,
1,3,15,30.5,25,22.7,100.4,0.01512,64,1.119794383,76.3,4,90,8,1098,516,145,182,371,,
1,3,16,28.1,24.5,22.9,100.3,0.01429,75,1.127222794,74.4,5,70,8,879,347,53,82,294,,
1,3,17,28,24.5,22.9,100.3,0.01417,75,1.127522819,74.4,3,80,9,603,238,36,74,202,,
1,3,18,27.5,24,22.4,100.3,0.01383,75,1.130450398,72.3,3,80,9,287,169,91,231,78,,
1,3,19,27.3,24,22.4,100.3,0.01375,76,1.131053941,72.4,0,0,6,22,15,12,28,4,,
1,3,20,26.4,25,24.2,100.3,0.01141,89,1.130893087,76.6,3,90,0,0,0,0,0,0,,
1,3,21,26,24.6,23.8,100.4,0.01123,89,1.134441433,74.8,3,90,0,0,0,0,0,0,,
1,3,22,25.8,24.3,23.4,100.5,0.01142,89,1.137083394,73.5,0,0,0,0,0,0,0,0,,
1,3,23,25.7,24.3,23.5,100.5,0.01119,89,1.13738884,73.6,0,0,0,0,0,0,0,0,,
1,3,24,25.6,24.6,23.9,100.5,0.00977,92,1.13682751,74.8,0,0,0,0,0,0,0,0,,
1,4,1,25.5,25,24.5,100.5,0.00716,96,1.135961092,76.5,0,0,0,0,0,0,0,0,,
1,4,2,25.1,24.3,23.7,100.5,0.00880,94,1.139225788,73.6,0,0,0,0,0,0,0,0,,
1,4,3,24.9,23.8,23.1,100.4,0.01003,91,1.140096056,71.6,2,90,6,0,0,0,0,0,,
1,4,4,24.6,23.6,22.9,100.3,0.00953,92,1.140411244,70.9,0,0,6,0,0,0,0,0,,
1,4,5,24.1,23.3,22.7,100.4,0.00855,94,1.143963662,69.6,0,0,0,0,0,0,0,0,,
1,4,6,23.8,23.3,22.8,100.4,0.00696,96,1.144892873,69.6,3,70,3,0,0,0,0,0,,
1,4,7,24.2,23.4,22.8,100.4,0.00856,94,1.143376082,70.0,0,0,5,102,65,41,97,24,,
1,4,8,25.4,23.8,22.9,100.4,0.01144,88,1.138561994,71.6,0,0,5,423,269,171,305,98,,
1,4,9,28.5,24.1,22.1,100.5,0.01424,70,1.129479665,72.6,5,90,5,725,428,230,321,198,,
1,4,10,28.9,24.4,22.4,100.6,0.01444,69,1.128586435,73.8,5,90,6,980,461,129,151,331,,
1,4,11,29.3,24.8,22.8,100.7,0.01481,70,1.127396688,75.4,6,90,8,1169,462,71,74,391,,
1,4,12,29.8,25,22.9,100.6,0.01501,68,1.12417223,76.2,8,90,9,1281,506,77,77,429,,
1,4,13,30.1,25.2,23.1,100.6,0.01519,68,1.122697613,77.1,6,90,9,1306,614,172,175,442,,
1,4,14,30.2,24.5,22.1,100.5,0.01470,63,1.123273539,74.2,8,90,8,1245,734,395,432,339,,
1,4,15,31,25,22.5,100.4,0.01521,62,1.118321385,76.3,6,90,6,1100,649,349,439,300,,
1,4,16,30.5,25,22.7,100.3,0.01519,64,1.118642749,76.4,6,70,6,882,520,280,434,240,,
1,4,17,30.5,25,22.7,100.3,0.01519,64,1.118642749,76.4,6,60,6,605,284,80,163,205,,
1,4,18,28.4,25,23.5,100.3,0.01449,76,1.124875941,76.5,6,70,8,289,171,92,234,79,,
1,4,19,28,24.5,22.9,100.3,0.01417,75,1.127522819,74.4,3,80,6,22,16,12,28,4,,
1,4,20,27.2,23.6,21.9,100.3,0.01364,74,1.132477165,70.7,0,0,3,0,0,0,0,0,,
1,4,21,26.4,23.3,21.8,100.4,0.01310,77,1.136901196,69.5,0,0,0,0,0,0,0,0,,
1,4,22,26.2,23,21.4,100.4,0.01303,76,1.138334125,68.4,0,0,0,0,0,0,0,0,,
1,4,23,25.8,23.1,21.7,100.5,0.01270,80,1.140451229,68.7,0,0,0,0,0,0,0,0,,
1,4,24,25.5,23,21.7,100.5,0.01250,81,1.141645445,68.3,0,0,0,0,0,0,0,0,,
1,5,1,25.3,23,21.8,100.5,0.01219,82,1.142260114,68.4,0,0,0,0,0,0,0,0,,
