Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Vitoria,-20.27,-40.28,-3,5,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,1,1,21.5,20.0,19.0,101.5,0.014028665,87,1.173791341,57.1,4,210,0,0,0,0,0,0
1,1,2,21.6,20.5,19.7,101.5,0.0146663,91,1.172217869,58.9,2,210,0,0,0,0,0,0
1,1,3,21.8,20.5,19.6,101.4,0.014597928,89,1.170394596,58.9,4,240,5,0,0,0,0,0
1,1,4,21.8,20.5,19.6,101.3,0.014613225,89,1.169212263,58.9,5,250,5,0,0,0,0,0
1,1,5,21.5,20.2,19.3,101.3,0.014328732,89,1.170926001,57.9,3,240,6,0,0,0,0,0
1,1,6,21.6,20.3,19.4,101.3,0.014423023,89,1.17035531,58.2,4,250,5,17,13,11,27,2
1,1,7,21.8,20.5,19.6,101.3,0.014613225,89,1.169212263,58.9,3,240,5,261,197,162,378,35
1,1,8,23.8,21.9,20.8,101.3,0.015755278,85,1.159257698,63.9,5,200,5,570,430,353,629,77
1,1,9,25.5,23.0,21.7,101.4,0.016659607,81,1.152162909,67.9,5,220,5,852,439,164,227,275
1,1,10,25.7,23.3,22.0,101.5,0.017016044,82,1.151884439,69.0,4,240,9,1090,469,97,113,371
1,1,11,25.6,22.9,21.5,101.5,0.016448152,80,1.153294987,67.5,7,190,10,1266,652,243,254,409
1,1,12,25.8,22.7,21.1,101.5,0.016063134,77,1.153218911,66.7,7,180,9,1368,807,435,435,373
1,1,13,26.3,22.9,21.2,101.5,0.016154269,75,1.151128925,67.5,7,190,8,1390,716,267,271,449
1,1,14,26.4,21.4,18.9,101.5,0.01391744,65,1.154792567,61.9,10,180,9,1331,785,423,462,362
1,1,15,26.9,21.4,18.6,101.4,0.01372521,62,1.152080681,61.9,8,170,8,1193,615,229,287,386
1,1,16,25.9,21.4,19.1,101.4,0.014142095,67,1.155175589,61.9,8,180,9,988,509,189,293,319
1,1,17,25.1,21.1,19.0,101.3,0.014068419,70,1.157265888,60.9,8,170,9,727,313,65,132,248
1,1,18,24.4,21.0,19.2,101.3,0.014220381,74,1.159711331,60.6,8,180,10,431,185,38,97,147
1,1,19,24.4,21.5,19.9,101.3,0.014927352,78,1.15842402,62.4,5,180,10,120,51,11,25,41
1,1,20,23.9,21.4,20.0,101.4,0.014977705,80,1.161427561,62.0,3,210,10,0,0,0,0,0
1,1,21,23.4,21.5,20.4,101.5,0.015313372,85,1.163919736,62.3,2,220,6,0,0,0,0,0
